pg_type, map_type, num_threads, num_packets, time 
7, book_coarse, 3, 1000000, 2378
7, book_coarse, 4, 1000000, 2017
7, book_coarse, 8, 1000000, 1374
7, book_coarse, 16, 1000000, 1350
7, book_coarse, 32, 1000000, 1536
7, book_striped, 3, 1000000, 2057
7, book_striped, 4, 1000000, 2002
7, book_striped, 8, 1000000, 1310
7, book_striped, 16, 1000000, 1319
7, book_striped, 32, 1000000, 1498
7, java_coarse, 3, 1000000, 1955
7, java_coarse, 4, 1000000, 1909
7, java_coarse, 8, 1000000, 1235
7, java_coarse, 16, 1000000, 1567
7, java_coarse, 32, 1000000, 1795
7, java_concurrent, 3, 1000000, 1973
7, java_concurrent, 4, 1000000, 1918
7, java_concurrent, 8, 1000000, 1205
7, java_concurrent, 16, 1000000, 1371
7, java_concurrent, 32, 1000000, 1595
7, github_nonblocking, 3, 1000000, 2002
7, github_nonblocking, 4, 1000000, 2002
7, github_nonblocking, 8, 1000000, 1378
7, github_nonblocking, 16, 1000000, 1299
7, github_nonblocking, 32, 1000000, 1383
7, serial, 1, 1000000, 4131
-,-,-,-,- 
