pg_type, map_type, num_threads, num_packets, time 
1, book_coarse, 3, 1000000, 1077
1, book_coarse, 4, 1000000, 571
1, book_coarse, 8, 1000000, 759
1, book_coarse, 16, 1000000, 1295
1, book_coarse, 32, 1000000, 1221
1, book_striped, 3, 1000000, 756
1, book_striped, 4, 1000000, 559
1, book_striped, 8, 1000000, 619
1, book_striped, 16, 1000000, 872
1, book_striped, 32, 1000000, 1260
1, java_coarse, 3, 1000000, 555
1, java_coarse, 4, 1000000, 785
1, java_coarse, 8, 1000000, 642
1, java_coarse, 16, 1000000, 707
1, java_coarse, 32, 1000000, 1016
1, java_concurrent, 3, 1000000, 643
1, java_concurrent, 4, 1000000, 567
1, java_concurrent, 8, 1000000, 574
1, java_concurrent, 16, 1000000, 931
1, java_concurrent, 32, 1000000, 1267
1, github_nonblocking, 3, 1000000, 603
1, github_nonblocking, 4, 1000000, 574
1, github_nonblocking, 8, 1000000, 754
1, github_nonblocking, 16, 1000000, 856
1, github_nonblocking, 32, 1000000, 1273
1, serial, 1, 1000000, 431
-,-,-,-,- 
