pg_type, map_type, num_threads, num_packets, time 
4, book_coarse, 3, 1000000, 1034
4, book_coarse, 4, 1000000, 754
4, book_coarse, 8, 1000000, 755
4, book_coarse, 16, 1000000, 678
4, book_coarse, 32, 1000000, 720
4, book_striped, 3, 1000000, 785
4, book_striped, 4, 1000000, 727
4, book_striped, 8, 1000000, 681
4, book_striped, 16, 1000000, 677
4, book_striped, 32, 1000000, 859
4, java_coarse, 3, 1000000, 705
4, java_coarse, 4, 1000000, 692
4, java_coarse, 8, 1000000, 634
4, java_coarse, 16, 1000000, 717
4, java_coarse, 32, 1000000, 769
4, java_concurrent, 3, 1000000, 661
4, java_concurrent, 4, 1000000, 627
4, java_concurrent, 8, 1000000, 569
4, java_concurrent, 16, 1000000, 609
4, java_concurrent, 32, 1000000, 783
4, github_nonblocking, 3, 1000000, 651
4, github_nonblocking, 4, 1000000, 672
4, github_nonblocking, 8, 1000000, 659
4, github_nonblocking, 16, 1000000, 630
4, github_nonblocking, 32, 1000000, 754
4, serial, 1, 1000000, 1075
-,-,-,-,- 
