pg_type, map_type, num_threads, num_packets, time 
0, book_coarse, 3, 1000000, 516
0, book_coarse, 4, 1000000, 609
0, book_coarse, 8, 1000000, 567
0, book_coarse, 16, 1000000, 561
0, book_coarse, 32, 1000000, 1221
0, book_striped, 3, 1000000, 695
0, book_striped, 4, 1000000, 524
0, book_striped, 8, 1000000, 558
0, book_striped, 16, 1000000, 562
0, book_striped, 32, 1000000, 1276
0, java_coarse, 3, 1000000, 649
0, java_coarse, 4, 1000000, 665
0, java_coarse, 8, 1000000, 520
0, java_coarse, 16, 1000000, 586
0, java_coarse, 32, 1000000, 1516
0, java_concurrent, 3, 1000000, 579
0, java_concurrent, 4, 1000000, 481
0, java_concurrent, 8, 1000000, 777
0, java_concurrent, 16, 1000000, 741
0, java_concurrent, 32, 1000000, 1491
0, github_nonblocking, 3, 1000000, 605
0, github_nonblocking, 4, 1000000, 626
0, github_nonblocking, 8, 1000000, 629
0, github_nonblocking, 16, 1000000, 563
0, github_nonblocking, 32, 1000000, 1069
0, serial, 1, 1000000, 519
-,-,-,-,- 
