pg_type, map_type, num_threads, num_packets, time 
3, book_coarse, 3, 1000000, 543
3, book_coarse, 4, 1000000, 463
3, book_coarse, 8, 1000000, 559
3, book_coarse, 16, 1000000, 747
3, book_coarse, 32, 1000000, 727
3, book_striped, 3, 1000000, 564
3, book_striped, 4, 1000000, 436
3, book_striped, 8, 1000000, 579
3, book_striped, 16, 1000000, 681
3, book_striped, 32, 1000000, 835
3, java_coarse, 3, 1000000, 410
3, java_coarse, 4, 1000000, 369
3, java_coarse, 8, 1000000, 522
3, java_coarse, 16, 1000000, 584
3, java_coarse, 32, 1000000, 728
3, java_concurrent, 3, 1000000, 380
3, java_concurrent, 4, 1000000, 428
3, java_concurrent, 8, 1000000, 483
3, java_concurrent, 16, 1000000, 574
3, java_concurrent, 32, 1000000, 689
3, github_nonblocking, 3, 1000000, 404
3, github_nonblocking, 4, 1000000, 371
3, github_nonblocking, 8, 1000000, 467
3, github_nonblocking, 16, 1000000, 651
3, github_nonblocking, 32, 1000000, 760
3, serial, 1, 1000000, 653
-,-,-,-,- 
