pg_type, map_type, num_threads, num_packets, time 
7, book_coarse, 3, 1000000, 3966
7, book_coarse, 4, 1000000, 4460
7, book_coarse, 8, 1000000, 4881
7, book_coarse, 16, 1000000, 4959
7, book_coarse, 32, 1000000, 4261
7, book_striped, 3, 1000000, 3383
7, book_striped, 4, 1000000, 3756
7, book_striped, 8, 1000000, 3377
7, book_striped, 16, 1000000, 4082
7, book_striped, 32, 1000000, 4529
7, java_coarse, 3, 1000000, 3726
7, java_coarse, 4, 1000000, 4215
7, java_coarse, 8, 1000000, 3396
7, java_coarse, 16, 1000000, 3542
7, java_coarse, 32, 1000000, 3707
7, java_concurrent, 3, 1000000, 3658
7, java_concurrent, 4, 1000000, 3408
7, java_concurrent, 8, 1000000, 3607
7, java_concurrent, 16, 1000000, 3654
7, java_concurrent, 32, 1000000, 3305
7, github_nonblocking, 3, 1000000, 3106
7, github_nonblocking, 4, 1000000, 3016
7, github_nonblocking, 8, 1000000, 2920
7, github_nonblocking, 16, 1000000, 3099
7, github_nonblocking, 32, 1000000, 3099
7, serial, 1, 1000000, 2408
-,-,-,-,- 
