pg_type, map_type, num_threads, num_packets, time 
3, book_coarse, 3, 1000000, 4109
3, book_coarse, 4, 1000000, 4344
3, book_coarse, 8, 1000000, 4869
3, book_coarse, 16, 1000000, 3987
3, book_coarse, 32, 1000000, 4192
3, book_striped, 3, 1000000, 3868
3, book_striped, 4, 1000000, 3889
3, book_striped, 8, 1000000, 4030
3, book_striped, 16, 1000000, 4359
3, book_striped, 32, 1000000, 4002
3, java_coarse, 3, 1000000, 3563
3, java_coarse, 4, 1000000, 3466
3, java_coarse, 8, 1000000, 3211
3, java_coarse, 16, 1000000, 3244
3, java_coarse, 32, 1000000, 3368
3, java_concurrent, 3, 1000000, 4052
3, java_concurrent, 4, 1000000, 3849
3, java_concurrent, 8, 1000000, 3032
3, java_concurrent, 16, 1000000, 3035
3, java_concurrent, 32, 1000000, 3473
3, github_nonblocking, 3, 1000000, 4099
3, github_nonblocking, 4, 1000000, 4606
3, github_nonblocking, 8, 1000000, 3529
3, github_nonblocking, 16, 1000000, 3388
3, github_nonblocking, 32, 1000000, 3558
3, serial, 1, 1000000, 2433
-,-,-,-,- 
