pg_type, map_type, num_threads, num_packets, time 
7, book_coarse, 3, 1000000, 1187
7, book_coarse, 4, 1000000, 872
7, book_coarse, 8, 1000000, 1014
7, book_coarse, 16, 1000000, 1040
7, book_coarse, 32, 1000000, 1479
7, book_striped, 3, 1000000, 960
7, book_striped, 4, 1000000, 866
7, book_striped, 8, 1000000, 821
7, book_striped, 16, 1000000, 1003
7, book_striped, 32, 1000000, 1252
7, java_coarse, 3, 1000000, 831
7, java_coarse, 4, 1000000, 819
7, java_coarse, 8, 1000000, 914
7, java_coarse, 16, 1000000, 1165
7, java_coarse, 32, 1000000, 1173
7, java_concurrent, 3, 1000000, 733
7, java_concurrent, 4, 1000000, 787
7, java_concurrent, 8, 1000000, 715
7, java_concurrent, 16, 1000000, 989
7, java_concurrent, 32, 1000000, 1104
7, github_nonblocking, 3, 1000000, 779
7, github_nonblocking, 4, 1000000, 795
7, github_nonblocking, 8, 1000000, 920
7, github_nonblocking, 16, 1000000, 934
7, github_nonblocking, 32, 1000000, 1332
7, serial, 1, 1000000, 3307
-,-,-,-,- 
